parkingarea_id,username_alias,date_in_central_european_time,unix_timestamp,action,longitude_latitude
5633285,2197,2018-06-09 17:18:56.977004,1528561136977,INSERT,"(10.527121552466479,52.27546565659217)"
5633285,2197,2018-06-09 17:19:03.545495,1528561143545,DELETE,"(10.5271215525,52.2754656566)"
5633286,2197,2018-06-09 17:19:31.363881,1528561171364,INSERT,"(10.52650071814655,52.275515232245354)"
5633287,2197,2018-06-09 17:19:31.596338,1528561171596,INSERT,"(10.526519281853453,52.27539476767281)"
5633287,2197,2018-06-09 17:19:37.004570,1528561177005,DELETE,"(10.5265192819,52.2753947677)"
5633276,2197,2018-06-09 17:26:59.136112,1528561619136,DELETE,"(10.5321333037,52.2755030739)"
5633288,2197,2018-06-09 17:27:07.218810,1528561627219,INSERT,"(10.53210831541041,52.275503769507914)"
5633289,2197,2018-06-09 17:27:07.360614,1528561627361,INSERT,"(10.532101595857839,52.27538282711937)"
5073700,2197,2018-06-09 18:06:47.095751,1528564007096,DELETE,"(10.526329351,52.2784505252)"
5633295,2197,2018-06-10 11:39:46.252143,1528627186252,INSERT,"(10.790657033157894,52.41898740743383)"
5076394,2197,2018-06-09 18:06:51.094787,1528564011095,DELETE,"(10.5263536012,52.2783944199)"
5059597,2197,2018-06-09 18:07:33.236134,1528564053236,DELETE,"(10.5291230366,52.278581298)"
5074359,2197,2018-06-09 18:07:36.600598,1528564056601,DELETE,"(10.5290449514,52.2784840969)"
5067190,2197,2018-06-09 18:07:46.803572,1528564066804,DELETE,"(10.5279766894,52.2785468666)"
5072709,2197,2018-06-09 18:08:13.917600,1528564093918,DELETE,"(10.5263479441,52.2784892342)"
5072715,2197,2018-06-09 18:08:17.126902,1528564097127,DELETE,"(10.5269526021,52.2785001956)"
5073993,2197,2018-06-09 18:08:23.100365,1528564103100,DELETE,"(10.5299688149,52.2786104278)"
5068138,2197,2018-06-09 18:08:27.838653,1528564107839,DELETE,"(10.5299733811,52.2785156874)"
5076393,2197,2018-06-09 18:10:49.546114,1528564249546,DELETE,"(10.5263494912,52.278356453)"
5230169,2197,2018-06-10 11:29:32.063885,1528626572064,DELETE,"(10.7614722137,52.4205988522)"
5224806,2197,2018-06-10 11:31:11.761372,1528626671761,DELETE,"(10.7602782434,52.4201070617)"
5223743,2197,2018-06-10 11:31:27.314613,1528626687315,DELETE,"(10.7634701517,52.4207484227)"
5225953,2197,2018-06-10 11:32:50.683531,1528626770684,DELETE,"(10.7797430616,52.4192777713)"
5633294,2197,2018-06-10 11:39:46.233936,1528627186234,INSERT,"(10.790477815724032,52.41903898175144)"
5068135,2197,2018-06-09 18:11:22.972450,1528564282972,DELETE,"(10.5332845812,52.2790770929)"
5068140,2197,2018-06-09 18:11:26.602280,1528564286602,DELETE,"(10.5332654815,52.2791739445)"
5068141,2197,2018-06-09 18:11:30.217783,1528564290218,DELETE,"(10.5318561808,52.2787271943)"
5068136,2197,2018-06-09 18:11:33.691266,1528564293691,DELETE,"(10.5314831904,52.2785767994)"
5070312,2197,2018-06-09 18:12:11.206295,1528564331206,DELETE,"(10.5333978731,52.2743908298)"
5075945,2197,2018-06-09 18:13:14.210981,1528564394211,DELETE,"(10.5264098619,52.2769493185)"
5223745,2197,2018-06-10 11:28:34.823725,1528626514824,DELETE,"(10.7622886574,52.4205309118)"
5223746,2197,2018-06-10 11:28:40.203075,1528626520203,DELETE,"(10.7623216072,52.4204378428)"
5224686,2197,2018-06-10 11:28:46.888299,1528626526888,DELETE,"(10.7616119479,52.4206395548)"
5224805,2197,2018-06-10 11:31:04.686822,1528626664687,DELETE,"(10.7602642741,52.4202011966)"
5225954,2197,2018-06-10 11:32:56.099029,1528626776099,DELETE,"(10.7795973241,52.4193097959)"
5222067,2197,2018-06-10 11:33:48.444665,1528626828445,DELETE,"(10.7854886766,52.4173009021)"
5229480,2197,2018-06-10 11:32:19.518561,1528626739519,DELETE,"(10.7661216409,52.4216234417)"
5222068,2197,2018-06-10 11:33:29.628753,1528626809629,DELETE,"(10.7854131725,52.4174515795)"
5225851,2197,2018-06-10 11:33:43.928722,1528626823929,DELETE,"(10.7855011593,52.4174367124)"
5225852,2197,2018-06-10 11:35:03.176224,1528626903176,DELETE,"(10.7856481365,52.4174204227)"
5225017,2197,2018-06-10 11:35:51.504717,1528626951505,DELETE,"(10.7862834603,52.4180474568)"
5230194,2197,2018-06-10 11:37:04.383018,1528627024383,DELETE,"(10.7910829757,52.4202118188)"
5224798,2197,2018-06-10 11:37:08.237174,1528627028237,DELETE,"(10.7912613853,52.4202040545)"
5224799,2197,2018-06-10 11:37:15.437178,1528627035437,DELETE,"(10.791440361,52.4204237705)"
5230193,2197,2018-06-10 11:37:19.577933,1528627039578,DELETE,"(10.7913089437,52.4204979498)"
5633290,2197,2018-06-10 11:37:47.645096,1528627067645,INSERT,"(10.792251618154289,52.421620964285005)"
5633293,2197,2018-06-10 11:39:37.983333,1528627177983,DELETE,"(10.7901702449,52.4184644449)"
5633291,2197,2018-06-10 11:37:47.799061,1528627067799,INSERT,"(10.792440763903777,52.421587705735654)"
5633291,2197,2018-06-10 11:37:57.369574,1528627077370,DELETE,"(10.7924407639,52.4215877057)"
5633292,2197,2018-06-10 11:39:29.280088,1528627169280,INSERT,"(10.789999755067486,52.41852555510257)"
5633293,2197,2018-06-10 11:39:29.412549,1528627169413,INSERT,"(10.790170244932511,52.418464444876264)"
5230195,2197,2018-06-10 11:41:38.767277,1528627298767,DELETE,"(10.7892378068,52.4207712062)"
5226709,2197,2018-06-10 11:44:21.154822,1528627461155,DELETE,"(10.7881911827,52.4207976743)"
5222208,2197,2018-06-10 11:44:25.095393,1528627465095,DELETE,"(10.7882083372,52.4209417741)"
5226710,2197,2018-06-10 11:41:01.393354,1528627261393,DELETE,"(10.7891634339,52.4208909309)"
5230196,2197,2018-06-10 11:41:07.968178,1528627267968,DELETE,"(10.7903855527,52.4205932771)"
5222209,2197,2018-06-10 11:44:15.954085,1528627455954,DELETE,"(10.7881067775,52.4209445015)"
5230102,2197,2018-06-10 11:44:33.561977,1528627473562,DELETE,"(10.7882219923,52.4211155256)"
5230197,2197,2018-06-10 11:41:33.970308,1528627293970,DELETE,"(10.7903295742,52.4205051772)"
5224163,2197,2018-06-10 11:44:37.712244,1528627477712,DELETE,"(10.7879308422,52.4209321903)"
5230103,2197,2018-06-10 11:45:15.381807,1528627515382,DELETE,"(10.7861482751,52.4216328397)"
5230101,2197,2018-06-10 11:45:24.335464,1528627524335,DELETE,"(10.787120816,52.421383631)"
5224164,2197,2018-06-10 11:45:30.062652,1528627530063,DELETE,"(10.787055473,52.4212978552)"
5230104,2197,2018-06-10 11:45:35.231278,1528627535231,DELETE,"(10.7860877562,52.4215458776)"
5633296,2197,2018-06-10 11:46:32.959463,1528627592959,INSERT,"(10.780250926581774,52.42286826104015)"
5633297,2197,2018-06-10 11:46:33.127327,1528627593127,INSERT,"(10.780187681621651,52.42275380063044)"
5633297,2197,2018-06-10 11:46:42.521224,1528627602521,DELETE,"(10.7801876816,52.4227538006)"
5633296,2197,2018-06-10 11:46:54.908025,1528627614908,DELETE,"(10.7802509266,52.4228682611)"
5633298,2197,2018-06-10 11:47:04.247445,1528627624247,INSERT,"(10.782130738600816,52.42255559085629)"
5633299,2197,2018-06-10 11:47:04.390581,1528627624391,INSERT,"(10.78207227117149,52.42244036304895)"
5633299,2197,2018-06-10 11:47:11.055396,1528627631055,DELETE,"(10.7820722712,52.422440363)"
5633300,2197,2018-06-10 11:47:39.775570,1528627659776,INSERT,"(10.779394783668977,52.42300837300341)"
5633301,2197,2018-06-10 11:47:39.912371,1528627659912,INSERT,"(10.779345216331052,52.42289162691931)"
5633301,2197,2018-06-10 11:47:46.843584,1528627666844,DELETE,"(10.7793452163,52.4228916269)"
5633305,2197,2018-06-10 11:48:54.051016,1528627734051,DELETE,"(10.776901628,52.4233971294)"
5633310,2197,2018-06-10 11:50:27.766335,1528627827766,INSERT,"(10.78016742726841,52.42234618635787)"
5633311,2197,2018-06-10 11:50:27.921702,1528627827922,INSERT,"(10.780352572731616,52.422303813631956)"
5633314,2197,2018-06-10 11:51:39.162106,1528627899162,INSERT,"(10.782879498604672,52.422226741120305)"
5633315,2197,2018-06-10 11:51:39.360304,1528627899360,INSERT,"(10.782930501395313,52.42234325880274)"
5633315,2197,2018-06-10 11:51:46.019441,1528627906019,DELETE,"(10.7829305014,52.4223432588)"
5633319,2197,2018-06-10 11:52:52.275125,1528627972275,DELETE,"(10.7840104905,52.4221254261)"
